Total files: 15463
Average line error: 0.0775701297514 (the lower, the better)
Top 1 accuracy: 0.822350126107 (the higher, the better)
Top 5 accuracy: 0.92000258682 (the higher, the better)
Wrongly predicted tasks and your ouputs: 
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/10932.txt 7 98 142 82 102
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/10980.txt 198 785 783 791 46
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/3771.txt 228 84 142 78 130
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/260.txt 245 199 206 230 229
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/3537.txt 48 51 50 52 49
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/2801.txt 142 134 188 183 170
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/2409.txt 134 151 153 146 25
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/7431.txt 519 943 893 284 964
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/3828.txt 1632 1667 1000 520 847
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/8657.txt 305 271 96 529 334
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/8797.txt 84 152 130 128 51
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/8817.txt 171 203 78 164 58
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/1800.txt 297 288 264 290 289
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/4338.txt 223 173 159 66 74
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/1204.txt 166 163 170 162 165
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/3353.txt 306 592 360 550 311
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/4312.txt 267 538 328 289 628
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/3637.txt 124 107 99 74 122
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/7388.txt 12 13 56 5 2
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/3490.txt 96 68 67 66 65
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/2753.txt 107 146 119 120 103
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/2870.txt 2202 1467 647 3011 890
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/9604.txt 1588 1624 1576 1627 1570
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/2813.txt 205 430 207 85 196
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/10069.txt 116 113 218 89 224
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/9010.txt 156 51 157 25 19
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/3745.txt 61 44 69 15 20
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/3505.txt 129 125 215 130 164
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/7339.txt 157 189 204 122 127
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/1504.txt 4310 4312 4307 3095 3830
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/287.txt 982 971 794 1017 1018
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/10392.txt 2491 2089 6733 5224 2464
