Total files: 15463
Average line error: 0.0437944663643 (the lower, the better)
Top 1 accuracy: 0.85009377223 (the higher, the better)
Top 5 accuracy: 0.954989329367 (the higher, the better)
Wrongly predicted tasks and your ouputs: 
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/2297.txt 1329 126 1123 1796 814
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/10932.txt 16 74 119 98 12
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/10980.txt 578 448 143 457 456
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/3537.txt 50 40 51 54 49
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/4340.txt 77 28 21 22 23
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/8797.txt 84 130 152 121 137
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/3332.txt 191 196 36 343 185
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/4252.txt 328 453 92 225 145
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/1204.txt 185 166 153 156 157
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/3353.txt 586 603 605 588 592
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/3490.txt 65 96 66 67 68
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/2870.txt 1467 890 4234 3803 1295
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/9604.txt 1562 1627 1588 1591 1594
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/10069.txt 89 76 117 85 104
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/2964.txt 349 119 111 112 113
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/2079.txt 856 602 1421 1062 1871
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/3745.txt 20 69 109 27 29
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/7339.txt 157 130 122 134 98
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/1815.txt 605 319 120 592 329
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/10710.txt 284 671 1343 1525 1385
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/5884.txt 25 168 92 162 177
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/1341.txt 57 55 56 83 78
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/8041.txt 172 148 276 18 143
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/2655.txt 64 63 66 65 20
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset1/Tasks/1866.txt 101 40 116 112 56
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/3785.txt 166 312 269 131 284
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/3422.txt 67 66 1008 97 1023
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/3347.txt 57 52 1126 110 921
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/1163.txt 734 460 964 707 705
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/7449.txt 83 97 87 92 421
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/7566.txt 483 482 425 552 435
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/4507.txt 36 99 20 150 111
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/1286.txt 91 93 97 86 5
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/4121.txt 24 27 39 10 16
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/6496.txt 60 63 34 97 96
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/1249.txt 217 229 155 61 177
/Users/zimin/Desktop/KTH/Master-Thesis/one-liner-competition.nosync/Datasets/Dataset2/Tasks/6571.txt 245 248 251 254 138
